Year,Month,Day,Hour,air_temp,dni,ghi,PeriodEnd.UTC,PeriodEnd.NZ
2022,9,9,1,10,0,0,2022-09-08T13:00:00Z,2022-09-08T13:00:00Z
2022,9,9,2,10,0,0,2022-09-08T14:00:00Z,2022-09-08T14:00:00Z
2022,9,9,3,10,0,0,2022-09-08T15:00:00Z,2022-09-08T15:00:00Z
2022,9,9,4,9,0,0,2022-09-08T16:00:00Z,2022-09-08T16:00:00Z
2022,9,9,5,9,0,0,2022-09-08T17:00:00Z,2022-09-08T17:00:00Z
2022,9,9,6,9,0,0,2022-09-08T18:00:00Z,2022-09-08T18:00:00Z
2022,9,9,7,9,44,8,2022-09-08T19:00:00Z,2022-09-08T19:00:00Z
2022,9,9,8,9,554,139,2022-09-08T20:00:00Z,2022-09-08T20:00:00Z
2022,9,9,9,10,762,332,2022-09-08T21:00:00Z,2022-09-08T21:00:00Z
2022,9,9,10,12,843,508,2022-09-08T22:00:00Z,2022-09-08T22:00:00Z
2022,9,9,11,14,891,644,2022-09-08T23:00:00Z,2022-09-08T23:00:00Z
2022,9,9,12,14,919,727,2022-09-09T00:00:00Z,2022-09-09T00:00:00Z
2022,9,9,13,14,879,735,2022-09-09T01:00:00Z,2022-09-09T01:00:00Z
2022,9,9,14,15,624,626,2022-09-09T02:00:00Z,2022-09-09T02:00:00Z
2022,9,9,15,15,726,566,2022-09-09T03:00:00Z,2022-09-09T03:00:00Z
2022,9,9,16,15,454,379,2022-09-09T04:00:00Z,2022-09-09T04:00:00Z
2022,9,9,17,15,397,217,2022-09-09T05:00:00Z,2022-09-09T05:00:00Z
2022,9,9,18,14,0,17,2022-09-09T06:00:00Z,2022-09-09T06:00:00Z
2022,9,9,19,14,0,0,2022-09-09T07:00:00Z,2022-09-09T07:00:00Z
2022,9,9,20,13,0,0,2022-09-09T08:00:00Z,2022-09-09T08:00:00Z
2022,9,9,21,13,0,0,2022-09-09T09:00:00Z,2022-09-09T09:00:00Z
2022,9,9,22,12,0,0,2022-09-09T10:00:00Z,2022-09-09T10:00:00Z
2022,9,9,23,12,0,0,2022-09-09T11:00:00Z,2022-09-09T11:00:00Z
2022,9,10,0,11,0,0,2022-09-09T12:00:00Z,2022-09-09T12:00:00Z
2022,9,10,1,11,0,0,2022-09-09T13:00:00Z,2022-09-09T13:00:00Z
2022,9,10,2,11,0,0,2022-09-09T14:00:00Z,2022-09-09T14:00:00Z
2022,9,10,3,11,0,0,2022-09-09T15:00:00Z,2022-09-09T15:00:00Z
2022,9,10,4,10,0,0,2022-09-09T16:00:00Z,2022-09-09T16:00:00Z
